19,30,17,18,4,31
42,12,34,9,28,6
28,8,7,15,24,19
23,19,38,25,15,32
49,17,7,33,32,41
41,23,43,11,15,38
39,8,5,44,10,27
34,10,31,19,25,48
14,16,9,26,30,37
1,44,28,12,18,43
6,11,48,39,25,4
3,41,20,44,11,6
45,15,7,20,43,42
43,45,16,18,5,8
42,38,49,37,5,28
39,26,36,43,48,46
18,4,43,48,7,15
30,24,47,34,20,45
17,34,9,20,49,2
41,13,40,48,12,25
42,7,21,30,28,35
28,3,47,49,5,19
16,27,48,49,30,31
45,9,22,11,38,28
45,3,49,31,32,22
11,28,2,4,6,36
14,12,37,30,13,21
2,12,39,11,21,31
45,34,12,25,23,44
40,47,10,34,28,6
40,7,21,30,39,11
30,24,4,31,6,20
38,29,46,8,44,27
23,33,11,29,27,35
37,1,44,14,18,33
5,3,22,30,33,32
7,44,40,28,19,2
6,47,37,41,43,22
43,7,49,22,16,44
15,29,22,47,39,46
14,34,19,20,47,27
29,25,20,22,24,42
30,12,1,27,47,49
36,22,46,38,9,13
22,10,26,29,18,24
17,49,46,4,25,47
14,34,5,44,26,40
24,5,20,42,38,44
25,49,15,42,38,40
26,43,27,21,1,19
25,13,47,16,1,34
37,38,6,44,43,16
40,11,12,2,4,21
38,47,48,35,9,39
38,40,30,14,8,32
27,30,24,23,39,26
2,16,35,27,47,17
3,46,24,15,26,16
20,36,19,1,33,8
30,7,26,17,25,40
11,40,49,13,47,15
19,45,43,10,44,9
48,16,31,26,29,3
3,47,24,45,1,13
33,34,21,35,45,44
25,44,23,32,45,31
36,47,44,28,35,43
20,48,1,33,2,21
8,29,17,22,16,27
13,12,21,19,36,14
37,14,24,43,10,46
11,45,6,35,32,47
3,27,28,8,5,1
42,40,4,30,46,35
26,25,9,36,10,23
7,41,36,19,29,11
8,14,3,12,48,13
37,3,5,31,23,35
12,18,39,38,40,16
26,17,38,9,2,4
25,46,38,22,20,18
8,36,11,42,31,27
27,23,6,45,15,39
17,25,45,3,2,32
14,23,18,32,34,43
33,31,26,18,34,38
22,20,17,38,5,10
17,36,34,30,14,39
25,9,15,4,20,37
40,33,2,48,13,31
3,16,5,36,46,30
49,8,13,3,43,27
31,26,10,20,41,9
27,49,40,14,11,41
43,42,13,23,10,14
16,39,4,3,28,26
31,12,8,7,17,48
43,23,42,17,45,10
4,41,29,35,30,38
47,46,33,24,7,27
21,4,32,9,2,48
43,29,20,1,13,24
36,48,25,13,39,7
7,8,25,31,22,47
40,31,8,27,21,45
34,30,27,18,44,11
44,9,17,15,4,31
16,5,34,17,28,11
2,24,48,13,10,25
47,29,6,15,28,10
15,21,37,47,16,22
43,30,39,3,19,10
48,9,17,30,8,16
15,27,17,37,18,11
44,34,28,29,23,39
16,11,10,7,19,37
2,43,47,36,41,14
3,8,31,35,27,44
47,9,10,17,46,7
38,19,16,42,49,10
25,45,17,41,5,1
16,15,36,20,2,21
28,43,25,13,38,27
15,36,45,25,6,27
41,12,48,31,35,21
29,28,5,43,37,8
9,40,47,39,30,1
11,17,18,6,13,47
45,43,25,35,21,49
29,28,26,17,37,16
3,27,38,35,14,25
7,37,13,33,4,48
5,16,48,29,38,10
6,26,17,12,14,45
36,19,27,38,26,20
12,14,26,11,20,4
37,42,43,39,9,14
16,25,24,44,8,28
37,8,16,15,43,25
11,33,20,19,23,35
2,18,41,45,47,49
1,6,22,25,44,26
37,33,35,13,2,32
26,28,18,11,7,5
40,42,10,3,29,9
6,5,12,23,43,4
44,47,15,20,6,5
46,19,30,34,22,6
14,39,4,33,42,10
19,44,28,5,2,26
16,42,6,31,24,43
24,36,26,27,14,31
34,38,43,28,29,39
38,1,42,14,21,43
47,21,42,9,13,12
15,11,12,32,27,45
28,46,3,8,26,14
34,25,45,46,18,21
29,1,39,42,44,11
14,32,27,7,1,47
48,15,27,13,22,2
33,17,7,27,47,30
4,13,19,29,20,22
47,8,4,48,30,49
26,4,3,38,45,33
14,2,5,10,9,42
47,10,46,29,31,44
18,39,30,38,7,25
41,42,1,29,15,23
36,11,45,13,12,15
37,33,21,23,39,15
41,24,44,47,22,35
27,26,49,12,15,33
45,24,33,3,14,28
23,43,5,21,7,4
29,20,48,36,10,46
18,36,1,19,46,4
2,16,19,42,29,13
3,40,41,1,21,27
29,8,31,13,5,47
5,27,47,31,23,36
37,45,10,32,3,43
26,16,15,5,28,27
14,36,17,29,32,19
41,28,29,16,31,12
2,37,42,12,21,44
5,15,29,6,22,46
26,2,17,19,32,41
32,8,10,24,20,11
46,19,17,26,31,23
43,31,21,15,13,46
37,41,19,49,11,26
11,41,44,5,28,1
4,48,5,46,33,41
19,22,14,24,18,29
33,49,30,17,1,45
34,3,20,47,37,31
32,49,36,18,22,29
9,10,17,11,33,29
24,38,6,8,1,4
11,39,42,10,36,21
34,25,21,44,1,29
45,48,14,46,18,16
32,29,16,26,49,6
37,43,41,22,5,39
1,6,34,48,46,37
25,32,35,15,11,37
15,18,9,32,40,25
3,4,12,9,34,47
20,25,49,7,37,4
36,46,23,9,47,41
36,5,49,4,45,21
36,23,10,30,6,28
19,33,36,24,42,15
11,16,44,48,21,32
